Model,accuracy,macro_precision,weighted_precision,macro_recall,weighted_recall,macro_f1,weighted_f1,roc_auc_macro,roc_auc_weighted
Baseline CNN,0.7406662375281622,0.30866966404612384,0.8833125001266191,0.5357749025582589,0.7406662375281622,0.33696617280420627,0.7924491366838693,0.7984745535898858,0.8582260958115222
CNN + Transformer,0.76154650788542,0.276834515138463,0.8730906703720515,0.3707863674782003,0.76154650788542,0.2944306800464007,0.8026802769848681,0.691002192196309,0.7972997523562415
Fourier + CNN + Transformer,0.7876971355004828,0.29873314286946184,0.8766496052796435,0.36747488739775014,0.7876971355004828,0.3168770171755628,0.8243179877470361,0.7766269583551375,0.8192850438598224
