Model,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,ROC-AUC (Macro),ROC-AUC (Weighted)
Baseline CNN,0.7714032829095591,0.3127454797466761,0.8868624341669245,0.49658097301137244,0.7714032829095591,0.34527700580232346,0.8152380761157428,0.779628226325715,0.8706385561115848
CNN + Transformer,0.8209285484390086,0.30520190132843283,0.880289290744833,0.3577436324236551,0.8209285484390086,0.3219017151949812,0.845935777313779,0.7207790415040443,0.7939788049164948
Fourier + CNN + Transformer,0.6374718377856453,0.27325467198011477,0.8673540762118674,0.3550546466793515,0.6374718377856453,0.2726438048634019,0.720976128763075,0.7243134454354334,0.7722450004197778
Fourier + CNN-ViT Hybrid,0.7119608947537818,0.26096716540522713,0.8742905591090456,0.3565604713016204,0.7119608947537818,0.26899228796967717,0.7683469018276236,0.5605851085319777,0.7984883884165641
