Model,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,ROC-AUC (Macro),ROC-AUC (Weighted)
Baseline CNN,0.7231453170260702,0.6122306528778203,0.8895601926289147,0.7592982597846603,0.7231453170260702,0.6053047222543714,0.7736558661158941,,
CNN + Transformer,0.7312721274541358,0.6299536687965244,0.9055188570967257,0.805265990362392,0.7312721274541358,0.6241787864075548,0.7807851922806235,,
Fourier + CNN + Transformer,0.7531179594464114,0.6225339776256227,0.8908797729305116,0.7684130255110575,0.7531179594464114,0.6278079741713711,0.7963910661659356,,
Fourier + CNN-ViT Hybrid,0.74004264563888,0.5966509018849335,0.8704924377173965,0.7060793581445981,0.74004264563888,0.5978066989699993,0.7845133304496388,,
